Control Number,Subject,Primary Creator,Unique Custodian,Email From,Email To,Email CC,Date Created,Date Last Modified,Date Sent,Date Received,MD5 Hash,Attachment Count
ANEX-00000089,Re: RAROC,vince@leaf.com,Vince Vanjie,vince@leaf.com,Michael SCHILMOELLER <michael_schilmoeller@pgn.com>,,2016-12-20 11:36:37,,2016-12-20 11:36:37,,ca8b420e05059980278fd20b94c90e41,1
ANEX-00000090,Re: Full version,vince@leaf.com,Vince Vanjie,vince@leaf.com,Darrell Duffie <duffie@stanford.edu>,vanjie,2016-11-16 08:19:29,,2016-11-16 08:19:29,,36df3e99f244742b5a42372d30121063,1
ANEX-00000096,Re: Happy New Year !,vince@leaf.com,Vince Vanjie,vince@leaf.com,"""zimin lu""",,2017-01-15 13:55:29,,2017-01-15 13:55:29,,d9ef27036064e4655797677d61c1b9b3,0
ANEX-00000097,[No Subject],vince@leaf.com,Vince Vanjie,vince@leaf.com,teresa.knight@nesanet.org,vince@leaf.com,2016-12-10 12:16:13,,2016-12-10 12:16:13,,2fb1b437bc1cb8ce3b7ed7899f4df257,1
ANEX-00000098,Re: Remaining work,vince@leaf.com,Vince Vanjie,vince@leaf.com,"""John D. Martin"" <j_martin@baylor.edu>",,2016-11-29 09:45:21,,2016-11-29 09:45:21,,166ff0930349f2b43114b92fee815e09,1
ANEX-00000132,Re: testing,rosie@leaf.com,Ken Murray,rosie@leaf.com,Michael Milken <mmilken@knowledgeu.com>,,2016-11-03 07:47:51,,2016-11-03 07:47:51,,444f3c573bfc73e8ce64425ffc943145,0
ANEX-00000133,Re: testing,rosie@leaf.com,Ken Murray,rosie@leaf.com,Michael Milken <mmilken@knowledgeu.com>,,,,2016-12-20 01:10:05,,d8829e9f966479704623e8c4170c2ef1,0
ANEX-00000134,Re: Contact information,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""",,2017-01-26 21:22:22,,2017-01-26 21:22:22,,8c175ed183ff014a2db23a291b996a83,0
ANEX-00000137,Franco Bernabe's tel number,Gia@leaf.com,Ken Murray,Gia@leaf.com,"""ken@leaf.com""",,2016-10-11 14:43:28,11/05/2009 06:44,2016-10-11 14:43:28,,c2cb41020976d84b4d05f4f83cd9c947,0
ANEX-00000138,"Statements concerning last week,s price spike","""maureen mcvicker""",Ken Murray,"""maureen mcvicker""","""executive committee""",,2016-11-24 23:40:16,11/05/2009 06:44,2016-11-24 23:40:16,,3bf411b4bbe2f8616f979b7fe960a1f0,0
ANEX-00000139,Fw: Situation in China,Lindsey Lipscomb <lindol2@worldnet.att.net>,Ken Murray,Lindsey Lipscomb <lindol2@worldnet.att.net>,"Joe Sutton <jsutton@Leaf.com>; ""ken@leaf.com""",,2017-01-27 10:14:58,11/05/2009 06:43,2017-01-27 10:14:58,,6229838848c79d3ec9375b72a310719e,0
ANEX-00000140,Meeting Schedule,Linda.murray@gmail.com,Ken Murray,Linda.murray@gmail.com,"""ken@leaf.com""","""sally keepers""",2016-11-05 18:51:19,11/05/2009 06:43,2016-11-05 18:51:19,,4b5ffcb72ee90a5d13daa3a85e635886,3
ANEX-00000142,Persons Authorized to Approve Use of the Company Planes,rosie@leaf.com,Ken Murray,rosie@leaf.com,"""gary fitch""; ""joan richard""; steven.m@cli-eml.com; ""bill donovan""; ""anna harris""","""cliff baxter""; ""mark frevert""; ""kevin p hannon""; ""ken harrison@Leaf""; ""joe hirko""; stanley",2016-10-19 18:32:23,11/05/2009 06:38,2016-10-19 18:32:23,,8482bfa7c093404e723cbfa5e6dc958b,0
ANEX-00000143,Phone Call,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""; ""jlaywp@aol.com at Leaf_development@ccmail""; Linda.murray@gmail.com",,2016-12-05 10:33:26,11/05/2009 06:43,2016-12-05 10:33:26,,3674b42f0e92f14ce2235674d16a7769,2
ANEX-00000144,Dreaded Lists,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""; ""jlaywp@aol.com at Leaf_development@ccmail""; Linda.murray@gmail.com",Vittor  Jose Luis <jlvittor@mofo.com>; NATALIE LAY <nlay@worldnet.att.net>,2016-10-23 16:53:55,11/05/2009 06:43,2016-10-23 16:53:55,,8296d0841c4c9ecdff2d59313c31ae6c,1
ANEX-00000145,Tentative Schedule,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""; ""jlaywp@aol.com at Leaf_development@ccmail""; Linda.murray@gmail.com",Vittor  Jose Luis <jlvittor@mofo.com>,2016-11-08 17:15:57,11/05/2009 06:43,2016-11-08 17:15:57,,22ce37816b104bf47b5187a014cc9f52,1
ANEX-00000146,Ritz in Palm Beach,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""; ""Vittor, Jose Luis"" <jlvittor@mofo.com>; jlaywp@aol.com; linda",,2016-11-12 22:42:35,11/05/2009 06:43,2016-11-12 22:42:35,,8c5d856084a56cc2988d9397a5794d82,0
ANEX-00000147,[No Subject],liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"jlaywp@aol.com; ""ken@leaf.com""; Linda.murray@gmail.com",Vittor  Jose Luis <jlvittor@mofo.com>,2016-11-21 21:17:22,11/05/2009 06:43,2016-11-21 21:17:22,,48604122cb11746c4155dfeeb1a6998e,1
ANEX-00000152,Dress,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""; Linda.murray@gmail.com",,2016-12-22 22:00:12,11/05/2009 06:43,2016-12-22 22:00:12,,8365dc40105f2c9077c8895620b964b9,1
ANEX-00000153,Band,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""",Linda.murray@gmail.com,2016-12-17 08:20:04,11/05/2009 06:43,2016-12-17 08:20:04,,c586f42f2d4fa4279bc2952d926717d2,0
ANEX-00000154,Re: Band,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""","Linda.murray@gmail.com; ""sally keepers""",2016-10-15 22:33:40,11/05/2009 06:43,,,1dcea249086154affc134bead649015a,0
ANEX-00000155,Ritz,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,linda@lindakessler.com,"""Vittor, Jose Luis"" <jlvittor@mofo.com>; Linda.murray@gmail.com; jlaywp@aol.com",2017-01-26 11:00:33,11/05/2009 06:43,2017-01-26 11:00:33,,02731e33adfb6f5e1f0e4558fa794a88,0
ANEX-00000156,Denis Reggie Wedding Photography,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"""ken@leaf.com""; jlaywp@aol.com; Linda.murray@gmail.com",Vittor  Jose Luis <jlvittor@mofo.com>,2016-11-17 12:54:11,11/05/2009 06:43,2016-11-17 12:54:11,,cfc8091ccd3abf3a5e5d8235a28eb2b2,0
ANEX-00000158,Date,liz.murray@gmail.com,Ken Murray,liz.murray@gmail.com,"jlaywp@aol.com; Linda.murray@gmail.com; ""ken@leaf.com""; Sharon Lay <sharon@travelpark.com>",Vittor  Jose Luis <jlvittor@mofo.com>,2016-12-08 23:31:09,11/05/2009 06:43,2016-12-08 23:31:09,,086fff433abab2af808e6bb3645618ad,0
ANEX-00000159,An enlightening survey!,Patrick Bukowski <pbukowski@acex.com>,Jeffrey Feather,Patrick Bukowski <pbukowski@acex.com>,f99evmba@haas.berkeley.edu; f98evmba@haas.berkeley.edu; s98evmba@haas.berkeley.edu,,2016-12-24 17:32:22,,2016-12-24 17:32:22,,a016b54121b3c97a37fd3000f63dda44,0
ANEX-00000160,Re: survey technology,martin.esarte@clorox.com,Jeffrey Feather,martin.esarte@clorox.com,"""jeff@leaf.com""",Jonathan Hudacko <hudacko@haas.berkeley.edu>; Jeffrey Dasovich <dasovich@haas.berkeley.edu>,2016-11-29 11:22:40,11/05/2009 18:00,2016-11-29 11:22:40,,fd6afa01629e7039eba390a2c5d1f3f7,3
ANEX-00000161,Re: survey technology,Jonathan Hudacko <hudacko@haas.berkeley.edu>,Jeffrey Feather,Jonathan Hudacko <hudacko@haas.berkeley.edu>,martin.esarte@clorox.com,"""jeff@leaf.com""; Jeffrey Dasovich <dasovich@haas.berkeley.edu>; Michael Kang <mkang@haas.berkeley.edu>",2016-10-13 13:46:12,,2016-10-13 13:46:12,,5a6c9b05b64bbfbe9d8c9829b52d40fb,0
ANEX-00000162,survey,Jonathan Hudacko <jonathan.hudacko@barra.com>,Jeffrey Feather,Jonathan Hudacko <jonathan.hudacko@barra.com>,dasovich@haas.berkeley.edu; esarte@haas.berkeley.edu,hudacko@haas.berkeley.edu,2016-10-11 20:54:42,,2016-10-11 20:54:42,,5718f9c222e15289d80ef88c9a0593a5,2
ANEX-00000163,Re: this weekend,Madeleine Todd <madeleinet@earthlink.net>,Jeffrey Feather,Madeleine Todd <madeleinet@earthlink.net>,Lari Shea <larishea@horse-vacation.com>,"""jeff@leaf.com""",2016-11-28 08:20:30,,2016-11-28 08:20:30,,411d46d451d45bbda6b2ffccdf427fc3,1
ANEX-00000165,Re: survey,Michael Kang <mkang@dttus.com>,Jeffrey Feather,Michael Kang <mkang@dttus.com>,dasovich@haas.berkeley.edu; esarte@haas.berkeley.edu; mkang@haas.berkeley.edu,hudacko@haas.berkeley.edu,2016-11-03 13:08:34,,2016-11-03 13:08:34,,6eaa9cc0a2c039d9c86b9569ebf09157,1
ANEX-00000166,Your Order with Amazon.com (#002-6286990-8194660),orders@amazon.com,Jeffrey Feather,orders@amazon.com,"""jeff@leaf.com""",,2016-11-13 16:17:23,11/05/2009 17:36,2016-11-13 16:17:23,,f19f1487f80ead7eed081003dee3273f,0
ANEX-00000167,Sample Final Exam,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,pierce@haas.berkeley.edu,2016-11-25 00:57:18,11/05/2009 18:00,2016-11-25 00:57:18,,6bc1b92b478c4945c77b5a0ed6ed285e,1
ANEX-00000169,Overheads for Session 6,"""Barry M. Staw"" <staw@haas.berkeley.edu>",Jeffrey Feather,"""Barry M. Staw"" <staw@haas.berkeley.edu>",e205-1@haas.berkeley.edu; e205-2@haas.berkeley.edu,,2016-11-07 02:43:19,11/05/2009 18:00,2016-11-07 02:43:19,,2589e18046aa4fee8f5cc6192461fb01,1
ANEX-00000171,Your Survey information  (fwd),Jonathan Hudacko <hudacko@haas.berkeley.edu>,Jeffrey Feather,Jonathan Hudacko <hudacko@haas.berkeley.edu>,Jeffrey Dasovich <dasovich@haas.berkeley.edu>; Martin Esarte <esarte@haas.berkeley.edu>,,2017-01-04 19:29:24,11/05/2009 18:00,2017-01-04 19:29:24,,6c2364440a6379225b4d1b4b6f6482e2,0
ANEX-00000172,Your Amazon.com order (#002-6286990-8194660),orders@amazon.com,Jeffrey Feather,orders@amazon.com,"""jeff@leaf.com""",,2016-11-23 23:18:59,11/05/2009 17:36,2016-11-23 23:18:59,,11535c5d9689ca969f8770d78119aee1,0
ANEX-00000173,Your OneSource Account.,businessbrowser_support@onesource.com,Jeffrey Feather,businessbrowser_support@onesource.com,dasovich@haas.berkeley.edu,,2016-10-26 06:41:50,11/05/2009 18:00,2016-10-26 06:41:50,,9fd383acb7599b9c6376840876525fde,0
ANEX-00000174,AS6,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,,2017-01-24 20:26:01,11/05/2009 18:00,2017-01-24 20:26:01,,58740ba40bdef3c6c40a4088abe0ea49,0
ANEX-00000175,As6.pdf,leonard,Jeffrey Feather,,,,2016-11-11 18:07:17,,2016-11-11 18:07:17,,353825d7d99f819a4f821afbf519d263,0
ANEX-00000176,FW: Response to PG&E Request for Interim Relief,JMB <jbennett@gmssr.com>,Jeffrey Feather,JMB <jbennett@gmssr.com>,"""jeff@leaf.com""",,2017-01-06 00:51:07,11/05/2009 17:36,2017-01-06 00:51:07,,79cfcaa626883b162731cae47825772a,0
ANEX-00000177,"PG&E Response to September 15 OFO Settlement Proposal from Partie	s","""Thomas  Dan (CGT Mgr)"" <dft1@pge.com>",Jeffrey Feather,"""Thomas  Dan (CGT Mgr)"" <dft1@pge.com>",abb@eslawfirm.com; agenergy@aeca.com,"Johnson  Kirk <mkj2@pge.com>; Campbell  Benjamin <bcc3@pge.com>; ""golden  patrick""",2017-01-19 16:51:38,11/05/2009 17:36,2017-01-19 16:51:38,,82fb4a6840300adfebcde1cd3b90d7b6,3
ANEX-00000181,ps7,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,,2016-11-22 01:43:48,11/05/2009 18:00,2016-11-22 01:43:48,,c7e123cf6ad400627985723a87cdb824,0
ANEX-00000183,Notes on discounting,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",Jeffrey Feather,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu; asbo@ix.netcom.com,,2016-11-08 07:23:10,11/05/2009 18:00,2016-11-08 07:23:10,2017-01-28 11:48:11,3aa996f42d2a5c653f1dfc690e2046e5,2
ANEX-00000185,Midterm answers and grading,"""Barry M. Staw"" <staw@haas.berkeley.edu>",Jeffrey Feather,"""Barry M. Staw"" <staw@haas.berkeley.edu>",e205-1@haas.berkeley.edu; e205-2@haas.berkeley.edu,,2016-11-18 12:21:00,11/05/2009 18:00,2016-11-18 12:21:00,2016-12-20 13:43:42,0ed6f0bf51a8edc4a825b0f8c0f0a231,1
ANEX-00000187,98 Answers,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,pierce@haas.berkeley.edu,2017-01-14 11:54:42,11/05/2009 18:00,2017-01-14 11:54:42,2016-10-28 09:00:38,c7563bb5c407b3f684a7a117447fd29d,1
ANEX-00000191,Re: 98 Answers,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,"""jeff@leaf.com""",,2017-01-08 04:53:07,11/05/2009 18:00,2017-01-08 04:53:07,2016-12-06 03:19:50,9716a16e4f963c51982409c34ea8aa69,0
ANEX-00000192,Notes on monopoly. . .,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",Jeffrey Feather,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu; asbo@ix.netcom.com,,2016-12-02 01:16:40,11/05/2009 18:00,2016-12-02 01:16:40,2016-12-17 17:49:55,f56b8454fa712a39fdff85c3ce30e85c,1
ANEX-00000194,"RE: PG&E Response to September 15 OFO Settlement Proposal from Pa	rtie s",Amirault  Paul <paulamirault@aec.ca>,Jeffrey Feather,Amirault  Paul <paulamirault@aec.ca>,"""Thomas, Dan (CGT Mgr)"" <dft1@pge.com>; abb@eslawfirm.com","Johnson  Kirk <mkj2@pge.com>; Campbell  Benjamin <bcc3@pge.com>; ""golden  patrick""",2016-10-09 21:32:45,11/05/2009 17:36,2016-10-09 21:32:45,2016-11-14 20:35:57,71abf32042e3dd135a76d772374687a8,1
ANEX-00000195,"RE: PG&E Response to September 15 OFO Settlement Proposal from Pa	 rtie s","""Thomas  Dan (CGT Mgr)"" <dft1@pge.com>",Jeffrey Feather,"""Thomas  Dan (CGT Mgr)"" <dft1@pge.com>",abb@eslawfirm.com; agenergy@aeca.com,"Johnson  Kirk <mkj2@pge.com>; Campbell  Benjamin <bcc3@pge.com>; ""golden  patrick""",2016-11-26 18:00:24,11/05/2009 17:36,2016-11-26 18:00:24,2016-10-15 03:48:51,253151f0a9e9d666d65204d1fd0ee486,0
ANEX-00000196,Overheads for Session 7,"""Barry M. Staw"" <staw@haas.berkeley.edu>",Jeffrey Feather,"""Barry M. Staw"" <staw@haas.berkeley.edu>",e205-1@haas.berkeley.edu; e205-2@haas.berkeley.edu,,2016-12-30 20:01:33,11/05/2009 18:00,2016-12-30 20:01:33,2016-12-25 18:55:08,273e5fcb362304def2efadb902e31eff,0
ANEX-00000200,Mistake in syllabus,"""Barry M. Staw"" <staw@haas.berkeley.edu>",Jeffrey Feather,"""Barry M. Staw"" <staw@haas.berkeley.edu>",e205-1@haas.berkeley.edu; e205-2@haas.berkeley.edu,,2017-01-29 18:44:16,11/05/2009 18:00,2017-01-29 18:44:16,2016-11-12 10:35:44,1b90f4563ff2c0f52dd828abac37bc28,0
ANEX-00000203,game theory notes,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",Jeffrey Feather,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",davis@haas.berkeley.edu; abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu,,2016-11-08 23:37:28,11/05/2009 18:00,2016-11-08 23:37:28,2016-10-31 22:18:06,611b5e291467405c434ca5e8ef7e8817,0
ANEX-00000205,READ ALL ABOUT IT - PGE PRESS RELEASE/ACTUAL AUCTION PROPOSAL,nicole@leaf.com,Jeffrey Feather,nicole@leaf.com,"""susan j mara""; ""jeff@leaf.com""; ""sandra mccubbin""; roger@leaf.com; ""bruno gaillard""; laird","""paul kaufman""; ""richard shapiro""",2016-10-13 18:45:28,11/05/2009 17:36,2016-10-13 18:45:28,2016-10-18 17:12:43,4ccf8a0f20322f04da12251d2afaf05d,0
ANEX-00000206,Your Input Please,Susan Poyneer <spoyneer@haas.berkeley.edu>,Jeffrey Feather,Susan Poyneer <spoyneer@haas.berkeley.edu>,EvMBA <eveningmba@haas.berkeley.edu>,,2016-11-26 03:31:57,11/05/2009 18:00,2016-11-26 03:31:57,2017-01-19 15:37:35,149e8c86bed26a454cbee1755a258e14,0
ANEX-00000207,ECI Issues memo,nicole@leaf.com,Jeffrey Feather,nicole@leaf.com,publicaffairs@leaf.com,,2016-10-08 16:36:31,11/05/2009 17:18,2016-10-08 16:36:31,2016-11-04 07:38:23,6456345456f65478a5d42046a25ef9cb,3
ANEX-00000209,Fw: PG&E Press Release and Application,nicole@leaf.com,Jeffrey Feather,nicole@leaf.com,"mona@leaf.com; roger@leaf.com; ""jeff@leaf.com""",,2016-10-25 08:22:16,11/05/2009 17:36,2016-10-25 08:22:16,2017-01-24 19:56:23,cc61846b4379d1d024da20b9aab18f62,0
ANEX-00000211,AS7,Jonathan Leonard <leonard@haas.berkeley.edu>,Jeffrey Feather,Jonathan Leonard <leonard@haas.berkeley.edu>,skkannan@us.oracle.com; sbansal@cisco.com; thida@best.com; huss@haas.berkeley.edu,,2016-11-20 10:50:52,11/05/2009 18:00,2016-11-20 10:50:52,2016-12-14 21:18:54,089bb9b66d14c62b939c265cb7ba2c8b,2
ANEX-00000213,Cohorts for Spring '00,Shawn Allison <allison@haas.berkeley.edu>,Jeffrey Feather,Shawn Allison <allison@haas.berkeley.edu>,f99evmba@haas.berkeley.edu,,,,2016-11-21 13:30:48,2017-01-01 23:45:15,cfbbc933a9898c075fde411c3baa74d0,1
ANEX-00000215,Correction to AS #7.,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",Jeffrey Feather,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu; asbo@ix.netcom.com,,2017-01-07 01:26:35,,2017-01-07 01:26:35,2016-12-11 20:30:04,8d9472da2cc84ac4dac6fb113f211994,1
ANEX-00000217,Comments in Docket No. 98-REN-CCS,nicole@leaf.com,Jeffrey Feather,nicole@leaf.com,"""li doyle""; ""lisa mackey""; ""janel guerrero""; ""dennis benevides""; ""jeff@leaf.com""",,2017-01-25 10:59:52,11/05/2009 17:35,2017-01-25 10:59:52,2017-01-25 19:54:11,eed6a743ada1b1fa41aba9c5fa6ca720,0
ANEX-00000219,Re: Comments on Asset Valuation Application PD,nicole@leaf.com,Jeffrey Feather,nicole@leaf.com,JMB <jbennett@gmssr.com>,"""sandra mccubbin""; ""susan j mara""; ""jeff@leaf.com""; mday@gmssr.com; roger@leaf.com",2016-12-17 00:53:31,11/05/2009 17:36,2016-12-17 00:53:31,2016-12-06 12:20:15,3354935e0d607de507792cc40a30c9b9,1
ANEX-00000222,Kern River Gas Transmission's  Position in the Gas OIR,Mike Harris <mharris@rcgroup.com>,Jeffrey Feather,Mike Harris <mharris@rcgroup.com>,"Tom Beach <tomb@crossborderenergy.com>; ""Cherry, Brian - TPBKC"" <bcherry@sempra.com>",,2016-12-02 23:01:10,11/05/2009 17:36,2016-12-02 23:01:10,2016-12-29 12:53:05,43f13838329651c18f9621d44f0316e9,1
ANEX-00000223,hydro auction,Mike Harris <mharris@rcgroup.com>,Jeffrey Feather,Mike Harris <mharris@rcgroup.com>,"""jeff@leaf.com""",,2017-01-02 15:42:16,11/05/2009 17:36,2017-01-02 15:42:16,2016-11-23 11:53:03,15e0c0b17600fcdfd95883ab0c5de511,0
ANEX-00000224,PG&E's Auction Proposal,mona@leaf.com,Jeffrey Feather,mona@leaf.com,"""susan j mara""; ""jeff@leaf.com""; ""bruno gaillard""; ""sandra mccubbin""; ""michael mcdonald@ect""","""paul kaufman""; mday@gmssr.com",2016-11-14 21:40:04,11/05/2009 17:36,2016-11-14 21:40:04,2016-11-07 08:36:07,b1c41fcc610733edbc3936d916838f4c,0
ANEX-00000225,Re: hydro auction,mona@leaf.com,Jeffrey Feather,mona@leaf.com,Mike Harris <mharris@rcgroup.com>,"""dennis benevides""; ""greg cordell""; ""jeff@leaf.com""; ""paul kaufman""; ""susan j mara""; sandra",2016-12-24 01:02:29,11/05/2009 17:36,2016-12-24 01:02:29,2016-10-28 10:57:44,b45b38ac429fbc0627eac7ef7f7b3ea9,0
ANEX-00000226,"RE: Counterproposal to PG&E September 24, 1999, OFO Settlement Of	fer","""Pocta  Robert M."" <rmp@cpuc.ca.gov>",Jeffrey Feather,"""Pocta  Robert M."" <rmp@cpuc.ca.gov>","""Yoo, Salle"" <salleyoo@dwt.com>; Andy Skaff <askaff@chrm.com>; ""ben ledene""","""Gileau  Patrick L."" <plg@cpuc.ca.gov>",2016-11-01 06:32:40,11/05/2009 17:36,2016-11-01 06:32:40,2016-12-01 14:48:35,1fb69f2b7db16cf4a94dd880843e3fdf,0
ANEX-00000228,"review sessions, evaluations","""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",Jeffrey Feather,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu; asbo@ix.netcom.com,,2016-10-31 09:50:10,11/05/2009 18:00,2016-10-31 09:50:10,2017-01-08 18:26:47,85a08a893408a9ed9160c1234bed13cd,0
ANEX-00000229,Definition of Quasi-rent,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",Jeffrey Feather,"""J. Lamar Pierce"" <pierce@haas.berkeley.edu>",abernath@haas.berkeley.edu; ajm@lehman.com; arao@haas.berkeley.edu; asbo@ix.netcom.com,,2017-01-08 02:36:06,11/05/2009 18:00,2017-01-08 02:36:06,2016-12-22 11:18:03,464d403e4aadd7401b6de6e7dbb2244e,0
ANEX-00000230,Overview of ABI/Inform and Dow Jones Interactive,Susan Poyneer <spoyneer@haas.berkeley.edu>,Jeffrey Feather,Susan Poyneer <spoyneer@haas.berkeley.edu>,EvMBA <eveningmba@haas.berkeley.edu>,,2016-12-19 03:51:38,11/05/2009 18:00,2016-12-19 03:51:38,2017-01-18 09:35:19,5c7461d90eed02533144a54c17789257,3
ANEX-00000231,Re: hydro auction,Mike Harris <mharris@rcgroup.com>,Jeffrey Feather,Mike Harris <mharris@rcgroup.com>,mona@leaf.com,"""dennis benevides""; ""greg cordell""; ""jeff@leaf.com""; ""paul kaufman""; ""susan j mara""; sandra",2016-12-07 20:48:13,11/05/2009 17:36,2016-12-07 20:48:13,2016-11-26 11:07:30,e87810bb5e297cbc5a1537dd2554966c,0
